Ingredient,SMILES
l-leucine,CC(C)CC(C(=O)O)N
l-isoleucine,CCC(C)C(C(=O)O)N
l-valine,CC(C)C(C(=O)O)N
l-glutamine,C(CC(=O)N)C(C(=O)O)N
cobalamin,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[Co+3]
all natural whole food ingredients,
amazing grass green food blend,
organic wheat grass,
organic barley grass,
organic alfalfa,
organic spirulina,
organic spinach,
organic chlorella,
organic broccoli,
antioxidant blend,
organic acai,
organic maca,
organic carrot,
organic beet,
raspberry,
organic rose hips,
organic pineapple,
green tea,
acerola cherry,
efa fiber blend,
organic flax seed powder,
apple pectin fiber,
digestive enzyme & active culture pre & probiotic blend,
f.o.s.,
l. acidophilus,
beta-amylase,
lactase,
longevity blend,
anti-aging blend,
green tea extract,
antioxidant boost,
vitality boost,
brain boosting botanical blend,
neuro-nutrient blend,
stimulating arousal blend,
passion & desire blend,
pleasure enhancing blend,
bioperine complex,
stamina & extending blend,
libido boosting blend,
power max blend,
pomegranate powder,
nutraberry pure fruit blend,
vitaberry tropical hi-orac blend,
natural caffeine,
beta sitosterol,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C
pumpkin seed oil,
urinary tract complex,
thermogenic tea blend,
yerba mate,
76 mg of caffeine,
matcha tea powder,
rooibos tea powder,
energizing adrenal support blend,
metabolic thyroid support blend,
super berry antioxidant blend,
lactoferrin,CCC(C)C(C(=NC(C(C)O)C(=NC(CS)C(=NC(C(C)C)C(=NC(CCCNC(=N)N)C(=NC(CCCNC(=N)N)C(=NC(C)C(=NC(CC1=CC=CC=C1)C(=O)O)O)O)O)O)O)O)O)N=C(C(CO)N=C(C2CCCN2C(=O)C(C)N=C(CN=C(C(CC(C)C)N=C(C(CCCCN)N=C(C(CCCCN)N=C(C(CCSC)N=C(C(CCCNC(=N)N)N=C(C(CC3=CNC4=CC=CC=C43)N=C(C(CCC(=N)O)N=C(C(CC5=CNC6=CC=CC=C65)N=C(C(CCCNC(=N)N)N=C(C(CCCNC(=N)N)N=C(C(CS)N=C(C(CCCCN)N=C(C(CC7=CC=CC=C7)N)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O
digesten-k,
kiwifruit powder,
alpha lipoic acid,C1CSSC1CCCCC(=O)O
monk fruit,
black cohosh extract,
dehydroepiandrosterone,CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C
pomegranate extract,
purified soy isoflavones,
vitamin e natural,
other omega-3 fatty acids,
omega-6 fatty acids,
other omega-6 fatty acids,
omega-9 fatty acids,
flaxseed particulate,
hibiscus extract,
elderberry concentrate,
proprietary immune complex,
glucosamine sulfate,C(C(C(C(C(C=O)N)O)O)O)O.C(C(C(C(C(C=O)N)O)O)O)O.OS(=O)(=O)O
glucosamine hydrochloride,C(C(C(C(C(C=O)N)O)O)O)O.Cl
n-acetyl d-glucosamine,CC(=O)NC1C(C(C(OC1O)CO)O)O
chondroitin sulfate sodium,
d-biotin,C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2
l-methionine,CSCCC(C(=O)O)N
canola fatty acid complex,
horsetail extract,
l-cysteine hydrochloride,C(C(C(=O)O)N)S.Cl
inosito,
l-glutamic acid,C(CC(=O)O)C(C(=O)O)N
hesperidin,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O
betaine,C[N+](C)(C)CC(=O)[O-]
garlic oil concentrate,
l-alanine,CC(C(=O)O)N
plant sterol complex,
saw palmetto,
pygeum,
stinging nettle,
pycnogenol(r),
saw palmetto extract 9:1,
pygeum extract 70:1,
total phytosterols,
soy phosphatides,
monounsatured fat,
gamma oryzanol,CC(CCC=C(C)C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)OC(=O)C=CC6=CC(=C(C=C6)O)OC)C)C
conjugated linoleic acid,CCCCCCC=CC=CCCCCCCCC(=O)O
energy complex,
creatine pump complex,
focus complex,
antioxidant complex,
acai,
pomegranate,
proprietary amino acid blend,
l-taurine,C(CS(=O)(=O)O)N
superfoods fruit and vegetable blend,
alpha-lipoic acid,C1CSSC1CCCCC(=O)O
lutemax 2020 lutein,
branched chain amino acid blend,
creatine precursor blend,
sports blend,
joint cushion support blend,
saw palmetto berries extract,
l-arginine,C(CC(C(=O)O)N)CN=C(N)N
healthy aging free radical protection blend,
memory health blend,
heart protection blend,
energy & metabolism blend,
prostate blend,
virility blend,
superfoods fruit & vegetable blend,
beauty blend,
performance; energy & metabolism blend,
cranberry concentrate,
organic french red wine polyphenol extract,
diosmin,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O
grapeseed extract,
horse chestnut extract,
butcher's broom extract,
oraganic french red wine polyphenol extract,
l-theanine,CCNC(=O)CCC(C(=O)O)N
passion flower,
liver pm blend,
milk thistle extract,
turmeric extract,
artichoke; extract,
wild natural japanese knotweed extract,
biocell collagen ii,
hydrolyzed collagen type ii,
chondroitin sulfate,CC(=O)NC1C(C(C(OC1O)OS(=O)(=O)O)O)OC2C(C(C(C(O2)C(=O)O)O)O)O
hyaluronic acid,
cynatine(r) hns,
quercetin dihydrate,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O.O.O
performance; energy & metabolish blend,
probiotic complex blend,
b. bifidum,
l. helveticus,
s. thermophilus,
b. lactis,
l. rhamnosus,
l. plantarum,
l. salivarius,
b. longum,
fructooligosaccharides,C(C1C(C(C(O1)(CO)O)O)O)O
inulin,
vitamin k1,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C
antioxidant fruit & vegetable blend,
essential fatty acid blend,
fiber blend,
fos,
fos-fructooligosaccharides,
gum acacia,
soy fiber,
cellulose,
resistant starch,
green tea leaf powder,
acerola,
buckwheat flour,
hesperidin complex,
slippery elm,
red clover,
hawthorn berry,
ginger,
dong quai,CC1=C(C(=O)OC(C1)C(C)(C2CCC3C2(CCC4C3CC5C6(C4(C(=O)C=CC6O)C)O5)C)O)C
butcher's broom,
spirulina powder,
soy protein isolate,
sodium copper chlorophyllin,
feverfew,
green source digestive enzyme blend,
green source probiotic blend,
bifidobacterium bifidum,
lactobacillus bulgaricus,
green source whole food blend,
green source herb blend,
green source vegetable blend,
green source fruit blend,
green source mushroom blend,
stevia extract,
bulgarian tribulus,CN(CC(=O)O)C(=N)N.C(C(C(C(C(C(=O)O)O)O)O)O)O
tribulus,CN(CC(=O)O)C(=N)N.C(C(C(C(C(C(=O)O)O)O)O)O)O
valerian,
yin chiao extract 10:1 proprietary blend,
acai juice powder,
resveratrol polyphenol complex(tm),
perluxan(tm) proprietary hops extract,
powergrape(r) 90% grape extract,
skin health blend,
mbp,
chondroitin sulfate; sodium,
fast-acting comfort blend,
d-glucosamine hydrochloride,C(C(C(C(C(C=O)N)O)O)O)O.Cl
coenzyme q-10,
glucosamine hcl,C(C(C(C(C(C=O)N)O)O)O)O.Cl
eleuthero,
yerba mate leaf extract,
lecithin,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCC=CCCCCC
greens blend,
men's health blend,
vegetable blend,
fruit blend,
efa powder blend,
liver health blend,
n-zimes(r) proprietary blend,
bean blend,
n-acetyl-l-cysteine,CC(=O)NC(CS)C(=O)O
oat bran flour,
l-glutathione,C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N
cerecalase(r) proprietary blend,
digestive enzyme blend,
fruit & vegetable blend,
setria l-glutathione,
milk basic protein,
gamma-linolenic acid,CCCCCC=CCC=CCC=CCCCCC(=O)O
total omega-9 fatty acids,
joint cushioning sports blend,
vitamin k-2,
bilberry fruit extract,
black cohosh root extract,
pomegranate fruit extract,
milk thistle seed extract,
red clover flowering tops extract,
artichoke leaf extract,
dandelion,
lemon balm herb extract,
chamomile,
suntheanine l-theanine,
boswellia serrata extract,
new-gar(r) odorless garlic bulb powder,
nettle leaves powder,
new-gar(r) deordorized garlic bulb powder,
new-gar aged garlic bulb extract,
fenugreek,
astragalus root powder,
cinnamon bark,
meganatural(r) grape seed extract,
new-gar(tm)deodorized garlic bulb powder,
picrorhiza kurrooa root extract,
saw palmetto berry extract,
pygeum africanum bark extract,
lutemax 2020(tm)lutein,
cranberry juice powder,
buckwheat,
citrus bioflavonoid,
barley grass,
eleuthero - siberian root,
evening primrose oil,
psyllium husk,
valerian extract,
passion flower extract,
celery seed extract 6:1,
catnip leaf,
hops flower extract,
orange peel extract,
spirulina,
cayenne,
devil's claw,
yucca,
eyebright,
chlorophyll copper complex,
lutigold(tm) lutein,
horsetail,
black cohosh,
astragalus,
chinese chlorella,
activated charcoal,[C]
bee propolis,
ester omega(tm) fish oil,
zygest(r) betaine hydrochloride,
l-arginine hydrochloride,C(CC(C(=O)O)N)CN=C(N)N.Cl
l-ornithine hydrochloride,C(CC(C(=O)O)N)CN.Cl
l-lysine hydrochloride,C(CCN)CC(C(=O)O)N.Cl
dl-phenylalanine,C1=CC=C(C=C1)CC(C(=O)O)N
natural spearmint flavor,
bee pollen,
royal jelly,
deglycyrrhizinated licorice extract,
l-glycine,C(C(=O)O)N
hawthorn extract,
ginkgo biloba extract,
milk thistle (silybum marianum) extract,
hydrolyzed collagen,
lutigold(tm)lutein,
bilberry extract,
mobili-flex(tm)proprietary blend,
pancreatin 6:1 extract,
zygest lactase enzyme,
chitosan,COC(=O)NC1C(C(C(OC1OC2C(OC(C(C2O)N)OC3C(OC(C(C3O)N)O)CO)CO)CO)OC4C(C(C(C(O4)CO)OC5C(C(C(C(O5)CO)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)CO)OC9C(C(C(C(O9)CO)O)O)N)O)N)O)N)O)N)O)N)O)N)O
korean ginseng extract,
kola nut,
oat straw,
nettles,
yohimbe 2% extract,
korean ginseng,
horny goat weed,
catuaba,
muira puama,
damiana,
st. john's wort extract,
oil of peppermint,
aloe vera,
korean (asian) ginseng extract,
american ginseng,
korean (asian) ginseng root extract,
epimedium extract,
maca powder,
gaba,C(CC(=O)O)CN
nettle,
muira,
l-cysteine,C(C(C(=O)O)N)S
hydrolyzed gelatin,
natural amino complex,
proprietary herbal blend,
monomagnesium di-l-aspartate,C(C(C(=O)O)N)C(=O)[O-].C(C(C(=O)O)N)C(=O)[O-].[Mg+2]
monopotassium aspartate,C(C(C(=O)[O-])N)C(=O)O.[K+]
gamma-aminobutyric acid,C(CC(=O)O)CN
d-glucosamine hcl,
soy isoflavone concentrate,
isolase(r),
proprietary amino acid complex,
lactalbumin,
total tocopherols,
toco-rich(tm),
saw palmetto berry powder,
pumpkin seed meal powder,
pygeum bark powder,
sunactive(r) iron,
methylsulfonyl-methane,
echinacea purpurea herb powder,
goldenseal herb powder,
panax ginseng root extract,
guarana seed extract,
valerian root powder,
licorice root powder,
rutin powder,
tocotrienol complex,
phosphatidyl serine,
lab4 probiotics,
bifidobacterium lactis,
saw palmetto berries extact,
soy isoflavone extract,
white willow bark extract,
thermogenic blend,
red pepper extract,
black pepper extract,
caffeine anhydrous,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
cinnamon bark extract,
proprietary sports blend,
proprietary performance blend,
cranberry powder,
carnitine,C[N+](C)(C)CC(CC(=O)[O-])O
branched-chain amino acids,
sesame seed oil,
hemodraulix proprietary blend,
arginine ethyl ester dihydrochloride,CCOC(=O)C(CCCN=C(N)N)N.Cl.Cl
beta-alanine,C(CN)C(=O)O
di-arginine malate,
arginine alpha-ketoglutarate,C(CC(C(=O)O)N)CN=C(N)N.C(CC(=O)O)C(=O)C(=O)O
arachidonic acid,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O
mytosterone(r),
neuro-ps(tm),
which typically provides:,
phosphatidic acid,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC
soy phospholipids & glycosides,
omega surge(tm) blend,
flaxseed oil,
borage seed oil,
fish oil,
docosapentaenoic acid,CCC=CCC=CCC=CCC=CCC=CCCCCCC(=O)O
